hangul	index	code	donor_jp
뒀	1621	95BA	兵
뒤	1620	95B9	併
뒷	1619	95B7	聞
드	1618	95B6	文
득	1617	95B5	雰
든	1616	95B4	紛
듣	1615	95B2	粉
들	1614	95AC	噴
듦	1613	95AB	吻
듬	1612	95AA	分
듭	1611	95A8	物
듯	1610	95A5	払
등	1609	95A2	覆
디	1608	95A1	複
딘	1607	95A0	腹
딜	1606	959F	福
딥	1605	959E	服
딩	1604	959D	幅
따	1603	959C	復
딱	1602	959B	副
딴	1601	959A	伏
딸	1600	9597	風
땅	1599	9595	封
때	1598	9594	部
땐	1597	9591	舞
땠	1596	9590	武
떠	1595	958E	侮
떡	1594	958B	赴
떤	1592	9588	譜
떨	1591	9585	腐
떻	1590	9584	符
떼	1589	9583	父
뗄	1588	9582	浮
또	1587	9581	普
똑	1586	957E	敷
뚝	1585	957C	怖
뚫	1584	957B	府
뚱	1583	957A	布
뛰	1582	9578	富
뜨	1581	9577	婦
뜩	1580	9576	夫
뜬	1579	9574	付
뜰	1578	9573	不
뜸	1577	9570	頻
뜻	1576	956E	貧
띄	1575	956C	浜
띤	1574	9569	品
라	1573	9562	秒
락	1572	9561	病
란	1571	9560	描
랄	1570	955E	豹
람	1569	955D	評
랍	1568	955C	表
랏	1567	9559	漂
랐	1566	9558	氷
랑	1565	9557	標
랗	1564	9550	姫
래	1563	954F	桧
랙	1562	954D	筆
랜	1561	954B	必
램	1560	9546	彦
랫	1559	9543	匹
랬	1558	9540	鼻
랭	1557	94FC	美
략	1556	94F7	微
량	1555	94F6	尾
러	1554	94F5	備
럭	1553	94F2	飛
런	1552	94F1	非
럴	1551	94F0	避
럼	1550	94EF	費
럽	1549	94ED	被
럿	1548	94EC	肥
렀	1547	94E9	秘
렁	1546	94E8	碑
렇	1545	94E7	皮
레	1544	94E6	疲
렉	1543	94E4	比
렘	1542	94E0	扉
렛	1541	94DF	悲
려	1540	94DE	彼
력	1539	94DC	妃
련	1538	94DB	否
렬	1537	94DA	卑
렴	1536	94D8	蛮
렵	1535	94D5	盤
렸	1534	94D4	番
령	1533	94D3	晩
례	1532	94D1	飯
로	1531	94CD	範
록	1530	94CA	般
론	1529	94C9	繁
롤	1528	94C6	犯
롭	1527	94C5	版
롯	1526	94C4	汎
