path	lba	size	oob
/CW_28.FCH	132928	43984	0
/CW_29.FCH	132950	27472	0
/CW_26.FCH	132964	37936	0
/CW_07.FCH	132983	24100	0
/CW_08.FCH	132995	36220	0
/CW_11.FCH	133013	30416	0
/CW_12.FCH	133028	36548	0
/CW_13.FCH	133046	28156	0
/CW_22.FCH	133060	34300	0
/CW_21.FCH	133077	35528	0
/CW_20.FCH	133095	29764	0
/CW_10.FCH	133110	27076	0
/CW_31.FCH	133124	30236	0
/CW_23.FCH	133139	40272	0
/CW_06.FCH	133159	36328	0
/CW_05.FCH	133177	36896	0
/CW_04.FCH	133196	33136	0
/CW_03.FCH	133213	36460	0
/CW_02.FCH	133231	36704	0
/CW_01.FCH	133249	26852	0
/CW_24.FCH	133263	33872	0
/CW_99.FCH	133280	2836	0
/CW_95.FCH	133282	27708	0
/CW_96.FCH	133296	27708	0
/EVE_079.EVE	133310	49480	0
/EVE_036.EVE	133335	222616	0
/EVE_041.EVE	133444	117000	0
/EVE_042.EVE	133502	144504	0
/EVE_104.EVE	133573	150532	0
/EVE_069.EVE	133647	130952	0
/EVE_060.EVE	133711	128228	0
/EVE_066.EVE	133774	109688	0
/EVE_064.EVE	133828	82056	0
/EVE_065.EVE	133869	69744	0
/EVE_024.EVE	133904	8948	0
/EVE_013.EVE	133909	75408	0
/EVE_090.EVE	133946	285132	0
/EVE_063.EVE	134086	172468	0
/EVE_022.EVE	134171	7096	0
/EVE_062.EVE	134175	153828	0
/EVE_072.EVE	134251	41436	0
/EVE_046.EVE	134272	163712	0
/EVE_006.EVE	134352	59552	0
/EVE_053.EVE	134382	76384	0
/EVE_049.EVE	134420	74996	0
/EVE_048.EVE	134457	55944	0
/EVE_045.EVE	134485	32184	0
/EVE_110.EVE	134501	89848	0
/EVE_031.EVE	134545	65136	0
/EVE_043.EVE	134577	81960	0
/EVE_044.EVE	134618	93836	0
/EVE_068.EVE	134664	111988	0
/EVE_027.EVE	134719	184712	0
/EVE_028.EVE	134810	39632	0
/EVE_005.EVE	134830	100288	0
/EVE_037.EVE	134879	170044	0
/EVE_001.EVE	134963	134412	0
/EVE_026.EVE	135029	52188	0
/EVE_047.EVE	135055	137520	0
/EVE_035.EVE	135123	202900	0
/EVE_040.EVE	135223	83680	0
/EVE_095.EVE	135264	78456	0
/EVE_034.EVE	135303	226064	0
/EVE_100.EVE	135414	221436	0
/EVE_039.EVE	135523	134804	0
/EVE_070.EVE	135589	109688	0
/EVE_030.EVE	135643	133700	0
/EVE_054.EVE	135709	78568	0
/EVE_050.EVE	135748	116852	0
/EVE_101.EVE	135806	277264	0
/EVE_067.EVE	135942	109500	0
/EVE_033.EVE	135996	211016	0
/EVE_081.EVE	136100	250488	0
/EVE_015.EVE	136223	120508	0
/EVE_061.EVE	136282	117620	0
/EVE_018.EVE	136340	117128	0
/EVE_103.EVE	136398	91472	0
/EVE_019.EVE	136443	72620	0
/EVE_014.EVE	136479	63836	0
/EVE_009.EVE	136511	133852	0
/EVE_012.EVE	136577	114016	0
/EVE_011.EVE	136633	162664	0
/EVE_020.EVE	136713	101960	0
/EVE_010.EVE	136763	61864	0
/EVE_023.EVE	136794	12696	0
/EVE_021.EVE	136801	104852	0
/EVE_032.EVE	136853	213552	0
/EVE_004.EVE	136958	54420	0
/EVE_007.EVE	136985	84484	0
/EVE_002.EVE	137027	296052	0
/EVE_003.EVE	137172	163128	0
/EVE_078.EVE	137252	23972	0
/EVE_074.EVE	137264	41436	0
/EVE_073.EVE	137285	41436	0
/EVE_087.EVE	137306	43544	0
/EVE_085.EVE	137328	41436	0
/GT00.MAP	137349	236908	0
/FIR3.MAP	137465	188852	0
/FIR2.MAP	137558	232368	0
/FIR1.MAP	137672	206768	0
/FIR0.MAP	137773	191940	0
/TJ72.MAP	137867	205180	0
